Date,Angel,Baker Street,Euston,Great Portland Street,Marylebone,Old Street,Paddington,Warren Street,Aldgate,Aldgate East,Bank,Bethnal Green,Liverpool Street,Monument,Moorgate,Tower Gateway,Tower Hill,Whitechapel,Barbican,Chancery Lane,Euston Square,Farringdon,Goodge Street,Holborn,Oxford Circus,Russell Square,St Pauls,Tottenham Court Road,Bayswater,Bond Street,Gloucester Road,Knightsbridge,Lancaster Gate,Marble Arch,Notting Hill Gate,Queensway,Regents Park,South Kensington,Covent Garden,Green Park,High Street Kensington,Hyde Park Corner,Leicester Square,Piccadilly Circus,Sloane Square,St James's Park,Victoria,Westminster,Blackfriars,Cannon Street,Charing Cross,Embankment,Mansion House,Pimlico,Southwark,Temple,Vauxhall,Waterloo,Canary Wharf,London Bridge,Stratford
2021-01-04,3201,5335,5964.0,1823.0,1810.0,4734.0,9044.0,5941.0,1700.0,2172.0,3733.0,4653.0,12299.0,1672.0,3987.0,384.0,2934.0,6058.0,1648.0,2716.0,2785.0,4422.0,1206.0,4262.0,11173.0,1915.0,2768.0,4288.0,772.0,7294.0,2585.0,3425.0,966.0,2377.0,3667.0,1407.0,1141.0,6032.0,858.0,6220.0,2550.0,1095.0,2798.0,2923.0,3965.0,2192.0,16506.0,4445.0,2176.0,1333.0,2344.0,2897.0,682.0,2455.0,2422.0,882.0,10685.0,11634.0,9297.0,17152.0,17376.0
2021-01-05,2950,5211,5063.0,1860.0,1655.0,4486.0,8357.0,5554.0,1697.0,2100.0,3495.0,4493.0,11314.0,1489.0,3787.0,370.0,2982.0,5740.0,1654.0,2597.0,2772.0,4284.0,1082.0,4028.0,9660.0,1906.0,2657.0,3984.0,729.0,7180.0,2295.0,2455.0,919.0,2297.0,3521.0,1324.0,1134.0,6177.0,749.0,5872.0,2449.0,1211.0,2395.0,2613.0,3947.0,2109.0,15277.0,4363.0,2086.0,1202.0,2290.0,2794.0,630.0,2437.0,2240.0,906.0,10738.0,10423.0,8751.0,15794.0,15537.0
2021-01-06,2964,5124,4579.0,1802.0,1612.0,4464.0,7805.0,5580.0,1754.0,1998.0,3228.0,4470.0,10959.0,1531.0,3555.0,390.0,2887.0,5935.0,1552.0,2484.0,2755.0,4278.0,1107.0,4049.0,9134.0,1871.0,2610.0,3794.0,694.0,6678.0,2341.0,3039.0,962.0,2289.0,3509.0,1302.0,1052.0,6013.0,768.0,5664.0,2338.0,1227.0,2320.0,2585.0,3718.0,2069.0,14715.0,4515.0,1929.0,1222.0,2194.0,2814.0,598.0,2381.0,2210.0,846.0,10726.0,10129.0,8591.0,15378.0,15388.0
2021-01-07,2914,5005,4381.0,1789.0,1621.0,4330.0,7983.0,5521.0,1719.0,2031.0,3307.0,4249.0,10845.0,1523.0,3648.0,349.0,2795.0,5501.0,1575.0,2524.0,2655.0,4096.0,1065.0,3898.0,9324.0,1854.0,2602.0,3782.0,660.0,6998.0,2218.0,3003.0,799.0,2383.0,3429.0,1295.0,984.0,5992.0,755.0,5545.0,2233.0,1087.0,2314.0,2437.0,3805.0,2082.0,14345.0,4291.0,2042.0,1385.0,2114.0,2718.0,605.0,2437.0,2123.0,812.0,10447.0,10020.0,8420.0,15842.0,14930.0
2021-01-08,3030,4967,4575.0,1817.0,1570.0,4236.0,7730.0,5566.0,1642.0,1999.0,3059.0,4303.0,11049.0,1423.0,3479.0,371.0,2633.0,5463.0,1575.0,2400.0,2555.0,4367.0,917.0,3720.0,9434.0,1846.0,2523.0,3754.0,714.0,6726.0,2357.0,2944.0,897.0,2451.0,3519.0,1434.0,979.0,5733.0,651.0,5474.0,2247.0,1062.0,2290.0,2451.0,3745.0,2003.0,14857.0,4036.0,1953.0,1203.0,2112.0,2543.0,567.0,2322.0,2128.0,808.0,10839.0,10249.0,8619.0,16194.0,15532.0
2021-01-11,2894,4837,4732.0,1669.0,1537.0,4171.0,7920.0,5614.0,1663.0,1919.0,3245.0,4207.0,10752.0,1478.0,3710.0,333.0,2798.0,5524.0,1570.0,2474.0,2583.0,4479.0,967.0,3870.0,9564.0,1786.0,2616.0,3775.0,649.0,6557.0,2325.0,3002.0,931.0,2330.0,3588.0,1437.0,1005.0,5751.0,680.0,5500.0,2118.0,1180.0,2224.0,2323.0,3540.0,2062.0,14206.0,4294.0,1906.0,1187.0,2140.0,2683.0,568.0,2335.0,2159.0,739.0,10976.0,9902.0,8593.0,15727.0,15339.0
2021-01-12,2785,5076,3301.0,1235.0,1551.0,4098.0,7577.0,5757.0,1768.0,2037.0,3262.0,4448.0,10913.0,1482.0,3564.0,216.0,2731.0,5537.0,1505.0,2445.0,1932.0,4460.0,1068.0,4024.0,9726.0,1908.0,2607.0,3834.0,583.0,6521.0,2301.0,3099.0,898.0,2310.0,3551.0,1384.0,1050.0,5910.0,656.0,5593.0,2175.0,1260.0,2143.0,2301.0,3482.0,1987.0,14486.0,4436.0,1354.0,1013.0,2201.0,2698.0,534.0,2466.0,2109.0,792.0,10857.0,10095.0,6381.0,15817.0,14863.0
2021-01-13,2847,4820,4184.0,1579.0,1577.0,4194.0,8386.0,5790.0,1743.0,1923.0,3212.0,4275.0,10608.0,1485.0,3671.0,342.0,2756.0,5802.0,1613.0,2507.0,3049.0,4456.0,1089.0,3894.0,9852.0,1861.0,2569.0,3912.0,659.0,6614.0,2362.0,3051.0,892.0,2242.0,3520.0,1321.0,1088.0,5868.0,673.0,5604.0,2254.0,1179.0,2188.0,2306.0,3808.0,2067.0,14397.0,4438.0,2014.0,1128.0,2194.0,2734.0,549.0,2498.0,2218.0,844.0,11039.0,10064.0,8533.0,15844.0,15617.0
2021-01-14,2929,4805,4190.0,1612.0,1620.0,4262.0,7712.0,5790.0,1726.0,1958.0,3226.0,4373.0,10918.0,1483.0,3608.0,327.0,2876.0,5650.0,1612.0,2472.0,2607.0,4395.0,1084.0,3970.0,10138.0,1856.0,2651.0,3817.0,649.0,6684.0,2341.0,3047.0,904.0,2259.0,3588.0,1356.0,1039.0,5908.0,677.0,5423.0,2260.0,1211.0,2141.0,2339.0,3603.0,1984.0,14474.0,4361.0,1988.0,1207.0,2200.0,2680.0,551.0,2414.0,2224.0,821.0,11099.0,9970.0,8714.0,15725.0,14975.0
2021-01-15,3083,5210,4557.0,1701.0,1589.0,4565.0,7862.0,5755.0,1648.0,2089.0,3425.0,4566.0,10857.0,1653.0,3635.0,405.0,2807.0,5694.0,1695.0,2387.0,2634.0,4292.0,1136.0,3773.0,9038.0,1909.0,2683.0,3946.0,707.0,7004.0,2428.0,3088.0,977.0,2370.0,3695.0,1455.0,1003.0,5815.0,672.0,5680.0,2374.0,1168.0,2343.0,2630.0,3766.0,1973.0,14668.0,4042.0,1934.0,1125.0,2246.0,2743.0,595.0,2522.0,2214.0,788.0,11514.0,10239.0,9052.0,16692.0,16296.0
